user,label,risk_score,risk_category,alert_priority
AAE0190,0,0.0,Low Risk,
AAF0535,1,0.899583974791508,High Risk,Critical
AAF0791,0,0.0,Low Risk,
AAL0706,0,0.0,Low Risk,
AAM0658,1,0.9864817735507854,High Risk,Critical
AAN0823,0,0.0,Low Risk,
AAS0442,0,0.0,Low Risk,
AAV0450,0,0.0,Low Risk,
AAW0353,0,0.0,Low Risk,
ABC0174,1,0.7289929621536713,Medium Risk,Suspicious
ABC0253,0,0.0,Low Risk,
ABH0663,0,0.0,Low Risk,
ABM0845,0,0.0,Low Risk,
ABN0239,0,0.0,Low Risk,
ACC0042,0,0.0,Low Risk,
ACV0812,0,0.0,Low Risk,
ADC0391,0,0.0017383177570093457,Low Risk,Normal
ADD0846,0,0.0,Low Risk,
ADF0397,0,0.001537190082644628,Low Risk,Normal
AES0827,0,0.0,Low Risk,
AGB0186,0,0.0,Low Risk,
AGB0643,0,0.0,Low Risk,
AHC0142,0,0.0,Low Risk,
AHD0848,0,0.07636477542093618,Low Risk,Normal
AHG0634,0,0.0,Low Risk,
AHM0410,0,0.005028769030013048,Low Risk,Normal
AIB0948,0,0.018760818116905775,Low Risk,Normal
AIH0675,0,0.0,Low Risk,
AIM0627,0,0.0,Low Risk,
AIP0394,0,0.0,Low Risk,
AIP0982,0,0.001537190082644628,Low Risk,Normal
AIS0405,0,0.0,Low Risk,
AJC0840,0,0.0,Low Risk,
AJD0074,0,0.0,Low Risk,
AJF0370,0,0.10935070033585621,Low Risk,Normal
AJH0175,0,0.1855930321216438,Low Risk,Normal
AJL0462,0,0.0,Low Risk,
AJN0607,0,0.0017383177570093457,Low Risk,Normal
AJP0723,0,0.0,Low Risk,
AJR0319,0,0.0,Low Risk,
AJR0932,1,0.8914737750023307,High Risk,Critical
AKC0924,0,0.0,Low Risk,
AKF0709,0,0.0,Low Risk,
AKH0758,0,0.0,Low Risk,
AKK0329,0,0.0,Low Risk,
AKR0057,1,0.8799806094335653,High Risk,Critical
AKW0167,0,0.0,Low Risk,
ALB0892,0,0.0,Low Risk,
ALC0788,0,0.0,Low Risk,
ALD0529,0,0.0,Low Risk,
ALD0544,0,0.0,Low Risk,
ALH0402,0,0.0,Low Risk,
AMD0077,0,0.001537190082644628,Low Risk,Normal
AMH0464,0,0.0,Low Risk,
AMH0794,0,0.0,Low Risk,
AMJ0297,0,0.0,Low Risk,
AMM0014,0,0.0,Low Risk,
AMR0318,0,0.0721837539339154,Low Risk,Normal
AMR0400,0,0.0,Low Risk,
AMV0036,0,0.0,Low Risk,
AMW0392,0,0.0,Low Risk,
ANM0123,0,0.21707202439682474,Low Risk,Normal
ANP0555,0,0.0,Low Risk,
ANT0430,0,0.0,Low Risk,
AOB0019,0,0.0,Low Risk,
AOK0844,0,0.059605797882560534,Low Risk,Normal
AOS0987,0,0.0,Low Risk,
APG0307,0,0.0,Low Risk,
AQD0820,0,0.0,Low Risk,
ARA0252,0,0.0,Low Risk,
ARB0834,0,0.0,Low Risk,
ARB0881,0,0.0,Low Risk,
ARD0509,0,0.0,Low Risk,
ARL0034,0,0.0,Low Risk,
ASB0796,0,0.0,Low Risk,
ASD0577,0,0.0,Low Risk,
ASG0048,0,0.0,Low Risk,
ASG0692,0,0.0,Low Risk,
ASL0378,0,0.0,Low Risk,
ASM0575,0,0.0,Low Risk,
ASS0206,0,0.0,Low Risk,
ASS0517,0,0.0,Low Risk,
ASV0946,0,0.0,Low Risk,
ATE0869,0,0.01367527850380587,Low Risk,Normal
ATF0274,0,0.0,Low Risk,
ATP0662,0,0.005338734967822081,Low Risk,Normal
AVM0947,0,0.03830050880094633,Low Risk,Normal
AWM0764,0,0.0,Low Risk,
BAH0875,0,0.0,Low Risk,
BAJ0654,0,0.02867452020811877,Low Risk,Normal
BAK0964,0,0.0,Low Risk,
BAL0044,0,0.119255992922021,Low Risk,Normal
BAM0611,0,0.0,Low Risk,
BAM0636,0,0.0,Low Risk,
BBG0325,0,0.012706532218396458,Low Risk,Normal
BBH0810,0,0.0,Low Risk,
BBS0039,1,0.901525759381918,High Risk,Critical
BBS0422,0,0.015044146367250155,Low Risk,Normal
BCB0679,0,0.002,Low Risk,Normal
BCM0653,0,0.0,Low Risk,
BCR0581,0,0.0,Low Risk,
BDB0453,0,0.0,Low Risk,
BDI0533,0,0.028944978248278984,Low Risk,Normal
BDV0168,1,0.9898351135296937,High Risk,Critical
BEC0505,0,0.0,Low Risk,
BEH0615,0,0.017162487751675937,Low Risk,Normal
BER0314,0,0.0,Low Risk,
BHC0665,0,0.0,Low Risk,
BHW0458,0,0.0,Low Risk,
BIH0745,1,0.9042406900809692,High Risk,Critical
BIS0247,0,0.12258835421021393,Low Risk,Normal
BJH0354,0,0.0,Low Risk,
BJH0811,0,0.0,Low Risk,
BJM0111,0,0.01181104895104895,Low Risk,Normal
BJP0134,0,0.010559690442541054,Low Risk,Normal
BJW0619,0,0.0,Low Risk,
BKW0374,0,0.0,Low Risk,
BLB0114,0,0.0,Low Risk,
BLL0929,0,0.0,Low Risk,
BLS0678,1,0.9770724494970966,High Risk,Critical
BMC0547,0,0.0,Low Risk,
BMG0917,0,0.004,Low Risk,Normal
BMM0112,0,0.0,Low Risk,
BMS0877,0,0.007738510090945324,Low Risk,Normal
BMT0528,0,0.03843880353015331,Low Risk,Normal
BNG0237,0,0.0,Low Risk,
BNR0965,0,0.0,Low Risk,
BQS0525,0,0.13912101628251508,Low Risk,Normal
BRB0355,0,0.021785805944385176,Low Risk,Normal
BRM0995,0,0.0,Low Risk,
BRS0734,0,0.1423194952310808,Low Risk,Normal
BSA0431,0,0.0,Low Risk,
BSB0990,0,0.0,Low Risk,
BSH0445,0,0.0,Low Risk,
BSS0369,1,0.727757013407474,Medium Risk,Suspicious
BSS0463,0,0.0,Low Risk,
BTL0226,1,0.9329454620008716,High Risk,Critical
BTL0722,0,0.0,Low Risk,
BTN0061,0,0.0,Low Risk,
BTR0403,0,0.20975437359385196,Low Risk,Normal
BTS0011,0,0.0,Low Risk,
BTW0005,0,0.0,Low Risk,
BVC0790,0,0.013528873720136518,Low Risk,Normal
BVN0514,0,0.002,Low Risk,Normal
BWH0813,0,0.0,Low Risk,
BWP0202,0,0.02371968747864513,Low Risk,Normal
BXJ0010,0,0.0,Low Risk,
BYP0070,0,0.0,Low Risk,
CAA0612,0,0.005525778896905718,Low Risk,Normal
CAB0388,0,0.0,Low Risk,
CAB0614,0,0.010568367529489083,Low Risk,Normal
CAC0889,0,0.002,Low Risk,Normal
CAH0936,1,0.9009043229524796,High Risk,Critical
CAM0102,0,0.0,Low Risk,
CAM0681,0,0.055933330500246015,Low Risk,Normal
CAN0842,0,0.0,Low Risk,
CAS0507,0,0.050195046749545676,Low Risk,Normal
CBB0365,0,0.0,Low Risk,
CBG0398,0,0.0,Low Risk,
CBG0490,0,0.002,Low Risk,Normal
CCA0046,1,0.8433675484835547,High Risk,Critical
CCC0393,0,0.0,Low Risk,
CCH0182,0,0.0,Low Risk,
CCH0685,0,0.0,Low Risk,
CCL0068,1,0.9225385136773534,High Risk,Critical
CCM0136,0,0.05011922372443321,Low Risk,Normal
CCM0467,0,0.0,Low Risk,
CCM0855,0,0.0,Low Risk,
CCR0863,0,0.0,Low Risk,
CCW0031,0,0.0,Low Risk,
CCW0524,0,0.0,Low Risk,
CEB0210,0,0.0,Low Risk,
CEJ0109,1,0.9537122269454975,High Risk,Critical
CEL0561,0,0.0,Low Risk,
CFG0959,0,0.002,Low Risk,Normal
CFM0767,0,0.07518128949754913,Low Risk,Normal
CFW0264,0,0.0,Low Risk,
CGA0629,0,0.0,Low Risk,
CGB0637,0,0.025275700173589953,Low Risk,Normal
CGF0337,0,0.0,Low Risk,
CHG0146,0,0.0,Low Risk,
CHM0821,0,0.08276096170484828,Low Risk,Normal
CIG0052,0,0.0,Low Risk,
CIM0271,0,0.005254231243909294,Low Risk,Normal
CIM0926,0,0.0,Low Risk,
CJC0494,0,0.0,Low Risk,
CJF0802,0,0.0,Low Risk,
CJG0470,0,0.0,Low Risk,
CJH0702,0,0.0,Low Risk,
CJK0200,0,0.0,Low Risk,
CJM0138,0,0.0,Low Risk,
CJM0521,0,0.0,Low Risk,
CJP0952,0,0.0,Low Risk,
CJV0286,0,0.0,Low Risk,
CKB0427,0,0.0,Low Risk,
CKB0482,0,0.0,Low Risk,
CKD0680,0,0.0,Low Risk,
CKH0144,0,0.0,Low Risk,
CKP0721,0,0.0,Low Risk,
CLB0774,0,0.031726459399948656,Low Risk,Normal
CLD0894,0,0.0,Low Risk,
CLF0852,0,0.0,Low Risk,
CLH0703,0,0.0,Low Risk,
CLS0296,0,0.0,Low Risk,
CMB0912,0,0.0,Low Risk,
CMM0487,0,0.0,Low Risk,
CMS0454,0,0.0,Low Risk,
CMW0783,0,0.0,Low Risk,
CNB0900,0,0.0,Low Risk,
CNE0352,0,0.0,Low Risk,
CNM0800,0,0.0,Low Risk,
COF0120,0,0.0,Low Risk,
COM0321,0,0.0,Low Risk,
CPG0322,0,0.0,Low Risk,
CQH0701,0,0.07357918693417549,Low Risk,Normal
CQH0730,0,0.0,Low Risk,
CQW0652,1,0.7758879716655248,Medium Risk,Suspicious
CRD0624,0,0.0,Low Risk,
CRK0916,0,0.0,Low Risk,
CRO0027,0,0.0,Low Risk,
CRP0456,0,0.0,Low Risk,
CSB0080,0,0.0,Low Risk,
CSC0217,1,0.8980998111088714,High Risk,Critical
CSH0626,0,0.0,Low Risk,
CSJ0340,0,0.0,Low Risk,
CSL0949,0,0.0,Low Risk,
CSP0197,0,0.0,Low Risk,
CTA0020,0,0.007192957390393598,Low Risk,Normal
CTR0341,0,0.0,Low Risk,
CTR0697,0,0.0,Low Risk,
CTW0500,0,0.0,Low Risk,
CUD0795,0,0.0,Low Risk,
CWB0065,0,0.0017383177570093457,Low Risk,Normal
CWR0502,0,0.019588824574857985,Low Risk,Normal
CXC0336,0,0.0,Low Risk,
CYA0506,0,0.0,Low Risk,
DAG0558,0,0.0,Low Risk,
DAL0673,0,0.05687962359601255,Low Risk,Normal
DAR0885,0,0.0,Low Risk,
DBB0384,0,0.011434990205591848,Low Risk,Normal
DBG0261,0,0.0,Low Risk,
DBS0235,0,0.0,Low Risk,
DBW0483,0,0.0,Low Risk,
DCC0160,0,0.0,Low Risk,
DCH0843,1,0.9698432404828113,High Risk,Critical
DDA0476,0,0.0,Low Risk,
DDM0579,0,0.0,Low Risk,
DEB0782,0,0.0,Low Risk,
DFH0188,0,0.06706571413632467,Low Risk,Normal
DFR0218,0,0.0018599999999999999,Low Risk,Normal
DGF0443,0,0.0,Low Risk,
