user,risk_score,risk_category,alert_priority,severity,Risk Category,Indicator,Observed,Normal Avg,Deviation,SHAP Impact
345,0.995072272166101,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,36.0,388.44,-90.7%,0.079
345,0.995072272166101,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,18.0,193.6,-90.7%,0.072
345,0.995072272166101,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.072
345,0.995072272166101,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,18.0,194.84,-90.8%,0.055
345,0.995072272166101,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,498.0,865.95,-42.5%,0.053
509,0.9906867812700417,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,16.0,388.44,-95.9%,0.081
509,0.9906867812700417,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,8.0,193.6,-95.9%,0.075
509,0.9906867812700417,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
509,0.9906867812700417,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,8.0,194.84,-95.9%,0.054
509,0.9906867812700417,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,314.0,865.95,-63.7%,0.053
103,0.9898351135296937,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,32.0,388.44,-91.8%,0.079
103,0.9898351135296937,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,16.0,193.6,-91.7%,0.072
103,0.9898351135296937,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
103,0.9898351135296937,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,16.0,194.84,-91.8%,0.055
103,0.9898351135296937,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,340.0,865.95,-60.7%,0.054
4,0.9864817735507854,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,13.0,388.44,-96.7%,0.083
4,0.9864817735507854,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,6.0,193.6,-96.9%,0.075
4,0.9864817735507854,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
4,0.9864817735507854,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,7.0,194.84,-96.4%,0.059
4,0.9864817735507854,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,458.0,865.95,-47.1%,0.057
630,0.9861237929420088,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,31.0,388.44,-92.0%,0.078
630,0.9861237929420088,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,15.0,193.6,-92.3%,0.074
630,0.9861237929420088,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
630,0.9861237929420088,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,16.0,194.84,-91.8%,0.057
630,0.9861237929420088,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,412.0,865.95,-52.4%,0.052
691,0.9839752212389381,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,14.0,388.44,-96.4%,0.081
691,0.9839752212389381,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,7.0,193.6,-96.4%,0.074
691,0.9839752212389381,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.072
691,0.9839752212389381,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,7.0,194.84,-96.4%,0.054
691,0.9839752212389381,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,510.0,865.95,-41.1%,0.053
469,0.9827572932203971,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,986.0,388.44,153.8%,0.071
469,0.9827572932203971,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
469,0.9827572932203971,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,468.0,865.95,-46.0%,0.067
469,0.9827572932203971,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,492.0,193.6,154.1%,0.066
