user,prediction_date,incident_date,lead_days
ONS0995,2010-03-06 01:41:56,2010-03-20 08:10:12,14
CSF0929,2010-07-01 01:24:58,2010-07-16 06:52:00,15
CCH0959,2010-08-02 10:34:31,2010-09-30 15:04:03,59
RCW0822,2010-09-29 21:10:27,2010-10-15 06:34:52,15
JCE0258,2010-07-12 08:16:02,2010-09-03 16:16:29,53
ABB0427,2010-08-21 05:20:34,2010-08-27 05:39:51,6
HFC0492,2010-08-23 10:40:56,2010-10-14 17:11:42,52
KTW0365,2010-07-08 11:51:00,2010-07-09 20:54:16,1
AAM0658,2010-10-23 01:34:19,2010-10-29 05:23:28,6
AJR0932,2010-09-10 19:12:01,2010-09-18 02:02:51,7
BDV0168,2010-07-30 19:56:44,2010-08-10 05:16:41,10
BIH0745,2010-07-13 20:15:23,2010-07-13 21:20:44,0
BLS0678,2010-09-21 01:16:22,2010-09-30 04:48:19,9
BTL0226,2010-10-06 22:25:52,2010-10-14 06:43:29,7
CAH0936,2010-08-11 04:00:08,2010-08-12 23:56:19,1
DCH0843,2011-02-04 07:08:00,2011-02-04 07:36:05,0
EHB0824,2010-07-22 21:48:43,2010-07-29 01:08:41,6
EHD0584,2010-10-02 03:46:16,2010-10-08 22:26:26,6
FMG0527,2011-01-05 21:53:29,2011-01-12 01:15:35,6
FTM0406,2010-11-25 06:35:11,2010-12-02 00:35:19,6
GHL0460,2010-11-09 06:28:40,2010-11-09 07:08:45,0
HJB0742,2010-11-19 05:53:16,2010-11-25 04:51:16,5
JMB0308,2010-07-14 00:56:15,2010-07-21 01:46:49,7
JRG0207,2011-01-19 20:25:05,2011-01-26 02:38:27,6
KLH0596,2011-02-12 07:11:50,2011-02-12 07:33:24,0
KPC0073,2010-07-07 20:05:29,2010-07-15 03:08:16,7
LJR0523,2010-07-31 07:43:15,2010-08-11 04:28:49,10
LQC0479,2010-09-14 19:46:17,2010-09-22 01:08:02,7
MAR0955,2011-02-08 05:55:53,2011-02-11 06:29:08,3
MAS0025,2010-09-29 01:39:20,2010-09-30 22:39:20,1
MCF0600,2010-09-20 23:52:19,2010-09-23 02:00:46,2
MYD0978,2010-12-13 20:30:07,2010-12-18 07:02:34,4
PPF0435,2011-02-09 03:00:27,2011-02-09 06:46:27,0
RAB0589,2010-09-13 23:18:53,2010-09-23 07:30:03,9
RGG0064,2010-10-20 20:12:23,2010-10-27 03:03:52,6
RKD0604,2010-07-13 20:04:53,2010-07-20 03:36:55,6
TAP0551,2010-10-23 02:55:51,2010-10-29 05:56:18,6
WDD0366,2011-02-24 19:49:41,2011-03-03 01:01:02,6
AAF0535,2010-06-28 08:51:08,2010-08-20 15:38:04,53
ABC0174,2010-10-27 14:11:03,2010-12-24 15:53:02,58
